name,password,instrumentNeeded
Bob,psswrd1,drummer,555-555-5555,bob@band.com
Kat,psswrd2,leadGuitarist,555-555-5555,kat@band.com
Phil,psswrd3,leadSinger,555-555-5555,phil@band.com
Logan,psswrd4,pianist,555-555-5555,logan@band.com
Gabe,psswrd5,backupSinger,555-555-5555,gabe@band.com
Paul,psswrd6,bassist,555-555-5555,paul@band.com
James,psswrd7,tambourine,555-555-5555,james@band.com
Jeff,psswrd8,backupGuitarist,555-555-5555,jeff@band.com
Mike,psswrd9,leadSinger,555-555-5555,mike@band.com
Eric,psswrd0,cowBellPlayer,555-555-5555,eric@band.com
Tom,psswrd10,pianist,555-555-5555,tom@band.com
Jessica,psswrd11,drummer,555-555-5555,jessica@band.com
Erica,psswrd12,backupGuitarist,555-555-5555,erica@band.com
Jake,psswrd13,bassist,555-555-5555,jake@band.com
Will,psswrd14,leadGuitarist,555-555-5555,will@band.com
Frank,psswrd15,bassist,555-555-5555,frank@band.com
Damien,psswrd16,cowBellPlayer,555-555-5555,damien@band.com
Archer,psswrd17,drummer,555-555-5555,archer@band.com
Malory,psswrd18,backupSinger,555-555-5555,malory@band.com
Lana,psswrd19,pianist,555-555-5555,lana@band.com
Saul,psswrd20,leadSinger,555-555-5555,saul@band.com
Amanda,psswrd21,tambourine,555-555-5555,amanda@band.com
Dan,psswrd22,leadGuitarist,555-555-5555,dan@band.com
John,psswrd23,leadSinger,555-555-5555,john@band.com
Jon,psswrd24,bassist,555-555-5555,jon@band.com
Fred,psswrd25,drummer,555-555-5555,fred@band.com
